name,type,generation
Bulbasaur,Grass/Poison,1
Ivysaur,Grass/Poison,1
Venusaur,Grass/Poison,1
Charmander,Fire,1
Charmeleon,Fire,1
Charizard,Fire/Flying,1
Squirtle,Water,1
Wartortle,Water,1
Blastoise,Water,1
Caterpie,Bug,1
Metapod,Bug,1
Butterfree,Bug/Flying,1
Weedle,Bug/Poison,1
Kakuna,Bug/Poison,1
Beedrill,Bug/Poison,1
Pidgey,Normal/Flying,1
Pidgeotto,Normal/Flying,1
Pidgeot,Normal/Flying,1
Rattata,Normal,1
Raticate,Normal,1
Spearow,Normal/Flying,1
Fearow,Normal/Flying,1
Ekans,Poison,1
Arbok,Poison,1
Pikachu,Electric,1
Raichu,Electric,1
Sandshrew,Ground,1
Sandslash,Ground,1
Nidoran F,Poison,1
Nidorina,Poison,1
Nidoqueen,Poison/Ground,1
Nidoran M,Poison,1
Nidorino,Poison,1
Nidoking,Poison/Ground,1
Clefairy,Fairy,1
Clefable,Fairy,1
Vulpix,Fire,1
Ninetales,Fire,1
Jigglypuff,Normal/Fairy,1
Wigglytuff,Normal/Fairy,1
Zubat,Poison/Flying,1
Golbat,Poison/Flying,1
Oddish,Grass/Poison,1
Gloom,Grass/Poison,1
Vileplume,Grass/Poison,1
Paras,Bug/Grass,1
Parasect,Bug/Grass,1
Venonat,Bug/Poison,1
Venomoth,Bug/Poison,1
Diglett,Ground,1
Dugtrio,Ground,1
Meowth,Normal,1
Persian,Normal,1
Psyduck,Water,1
Golduck,Water,1
Mankey,Fighting,1
Primeape,Fighting,1
Growlithe,Fire,1
Arcanine,Fire,1
Poliwag,Water,1
Poliwhirl,Water,1
Poliwrath,Water/Fighting,1
Abra,Psychic,1
Kadabra,Psychic,1
Alakazam,Psychic,1
Machop,Fighting,1
Machoke,Fighting,1
Machamp,Fighting,1
Bellsprout,Grass/Poison,1
Weepinbell,Grass/Poison,1
Victreebel,Grass/Poison,1
Tentacool,Water/Poison,1
Tentacruel,Water/Poison,1
Geodude,Rock/Ground,1
Graveler,Rock/Ground,1
Golem,Rock/Ground,1
Ponyta,Fire,1
Rapidash,Fire,1
Slowpoke,Water/Psychic,1
Slowbro,Water/Psychic,1
Magnemite,Electric/Steel,1
Magneton,Electric/Steel,1
Farfetchd,Normal/Flying,1
Doduo,Normal/Flying,1
Dodrio,Normal/Flying,1
Seel,Water,1
Dewgong,Water/Ice,1
Grimer,Poison,1
Muk,Poison,1
Shellder,Water,1
Cloyster,Water/Ice,1
Gastly,Ghost/Poison,1
Haunter,Ghost/Poison,1
Gengar,Ghost/Poison,1
Onix,Rock/Ground,1
Drowzee,Psychic,1
Hypno,Psychic,1
Krabby,Water,1
Kingler,Water,1
Voltorb,Electric,1
Electrode,Electric,1
Exeggcute,Grass/Psychic,1
Exeggutor,Grass/Psychic,1
Cubone,Ground,1
Marowak,Ground,1
Hitmonlee,Fighting,1
Hitmonchan,Fighting,1
Lickitung,Normal,1
Koffing,Poison,1
Weezing,Poison,1
Rhyhorn,Ground/Rock,1
Rhydon,Ground/Rock,1
Chansey,Normal,1
Tangela,Grass,1
Kangaskhan,Normal,1
Horsea,Water,1
Seadra,Water,1
Goldeen,Water,1
Seaking,Water,1
Staryu,Water,1
Starmie,Water/Psychic,1
Mr Mime,Psychic/Fairy,1
Scyther,Bug/Flying,1
Jynx,Ice/Psychic,1
Electabuzz,Electric,1
Magmar,Fire,1
Pinsir,Bug,1
Tauros,Normal,1
Magikarp,Water,1
Gyarados,Water/Flying,1
Lapras,Water/Ice,1
Ditto,Normal,1
Eevee,Normal,1
Vaporeon,Water,1
Jolteon,Electric,1
Flareon,Fire,1
Porygon,Normal,1
Omanyte,Rock/Water,1
Omastar,Rock/Water,1
Kabuto,Rock/Water,1
Kabutops,Rock/Water,1
Aerodactyl,Rock/Flying,1
Snorlax,Normal,1
Articuno,Ice/Flying,1
Zapdos,Electric/Flying,1
Moltres,Fire/Flying,1
Dratini,Dragon,1
Dragonair,Dragon,1
Dragonite,Dragon/Flying,1
Mewtwo,Psychic,1
Mew,Psychic,1
Chikorita,Grass,2
Bayleef,Grass,2
Meganium,Grass,2
Cyndaquil,Fire,2
Quilava,Fire,2
Typhlosion,Fire,2
Totodile,Water,2
Croconaw,Water,2
Feraligatr,Water,2
Sentret,Normal,2
Furret,Normal,2
Hoothoot,Normal/Flying,2
Noctowl,Normal/Flying,2
Ledyba,Bug/Flying,2
Ledian,Bug/Flying,2
Spinarak,Bug/Poison,2
Ariados,Bug/Poison,2
Crobat,Poison/Flying,2
Chinchou,Water/Electric,2
Lanturn,Water/Electric,2
Pichu,Electric,2
Cleffa,Fairy,2
Igglybuff,Normal/Fairy,2
Togepi,Fairy,2
Togetic,Fairy/Flying,2
Natu,Psychic/Flying,2
Xatu,Psychic/Flying,2
Mareep,Electric,2
Flaaffy,Electric,2
Ampharos,Electric,2
Bellossom,Grass,2
Marill,Water/Fairy,2
Azumarill,Water/Fairy,2
Sudowoodo,Rock,2
Politoed,Water,2
Hoppip,Grass/Flying,2
